REGION,TECHNOLOGY,YEAR,VALUE
RD,DIST_FIR,2018,12.4972
RD,DIST_FIR,2019,18.2867
RD,DIST_FIR,2020,18.5214
RD,DIST_FIR,2021,18.7544
RD,DIST_FIR,2022,18.9082
RD,DIST_FIR,2023,19.1873
RD,DIST_FIR,2024,19.9879
RD,DIST_FIR,2025,20.7965
RD,DIST_FIR,2026,21.3519
RD,DIST_FIR,2027,21.9075
RD,DIST_FIR,2028,22.4629
RD,DIST_FIR,2029,23.0185
RD,DIST_FIR,2030,23.574
RD,DIST_FIR,2031,23.9622
RD,DIST_FIR,2032,24.3504
RD,DIST_FIR,2033,24.7385
RD,DIST_FIR,2034,25.1268
RD,DIST_FIR,2035,25.5149
RD,DIST_FIR,2036,25.9031
RD,DIST_FIR,2037,26.2913
RD,DIST_FIR,2038,26.6795
RD,DIST_FIR,2039,27.0677
RD,DIST_FIR,2040,27.4559
RD,DIST_FIR,2041,27.372
RD,DIST_FIR,2042,27.2879
RD,DIST_FIR,2043,27.204
RD,DIST_FIR,2044,27.1201
RD,DIST_FIR,2045,27.0361
RD,DIST_FIR,2046,26.9522
RD,DIST_FIR,2047,26.8682
RD,DIST_FIR,2048,26.7842
RD,DIST_FIR,2049,26.7003
RD,DIST_FIR,2050,26.6164
RD,DIST_BIM,2018,18.340670643545742
RD,DIST_BIM,2019,17.458510120000003
RD,DIST_BIM,2020,17.71477575
RD,DIST_BIM,2021,17.987761
RD,DIST_BIM,2022,14.796519109999998
RD,DIST_BIM,2023,15.79280563
RD,DIST_BIM,2024,15.54988527
RD,DIST_BIM,2025,15.900785270000002
RD,DIST_BIM,2026,16.25498527
RD,DIST_BIM,2027,37.54265707
RD,DIST_BIM,2028,36.8735713
RD,DIST_BIM,2029,36.20448553
RD,DIST_BIM,2030,35.53529976
RD,DIST_BIM,2031,34.85367230000001
RD,DIST_BIM,2032,34.17098653
RD,DIST_BIM,2033,33.488200760000005
RD,DIST_BIM,2034,32.805514990000006
RD,DIST_BIM,2035,32.12388753
RD,DIST_BIM,2036,31.44110176
RD,DIST_BIM,2037,30.75841599
RD,DIST_BIM,2038,30.07678853
RD,DIST_BIM,2039,29.394002760000003
RD,DIST_BIM,2040,28.71131699
RD,DIST_BIM,2041,27.95623122
RD,DIST_BIM,2042,27.20230376
RD,DIST_BIM,2043,26.44721799
RD,DIST_BIM,2044,25.69213222
RD,DIST_BIM,2045,24.93714645
RD,DIST_BIM,2046,24.183118990000004
RD,DIST_BIM,2047,23.428033220000003
RD,DIST_BIM,2048,22.67304745
RD,DIST_BIM,2049,21.91796168
RD,DIST_BIM,2050,21.16393422
RD,DIST_BGS,2018,27.50591028864001
RD,DIST_BGS,2019,22.591999999999995
RD,DIST_BGS,2020,17.40799999999999
RD,DIST_BGS,2021,13.365579664000002
RD,DIST_BGS,2022,11.3242174336
RD,DIST_BGS,2023,13.73783183360002
RD,DIST_BGS,2047,2.2407748589600205
RD,DIST_BGS,2048,6.460877858960024
RD,DIST_BGS,2049,10.681180858960012
RD,DIST_BGS,2050,14.901283858959982
RD,DIST_CRU,2018,240.73153300555555
RD,DIST_CRU,2019,265.145523277391
RD,DIST_CRU,2020,253.8455702566128
RD,DIST_CRU,2021,267.28368056598487
RD,DIST_CRU,2022,294.24912853848
RD,DIST_CRU,2023,290.5796958764448
RD,DIST_CRU,2024,315.87599964100366
RD,DIST_CRU,2025,317.82885683796644
RD,DIST_CRU,2026,322.8758948183971
RD,DIST_CRU,2027,329.0261325656311
RD,DIST_CRU,2028,334.98413570348066
RD,DIST_CRU,2029,340.60140854031727
RD,DIST_CRU,2030,345.71686534474554
RD,DIST_CRU,2031,352.9395321948907
RD,DIST_CRU,2032,361.57229029673493
RD,DIST_CRU,2033,367.3195981937126
RD,DIST_CRU,2034,372.5336451198567
RD,DIST_CRU,2035,377.4711924393084
RD,DIST_CRU,2036,382.47685736570753
RD,DIST_CRU,2037,387.83078885298505
RD,DIST_CRU,2038,393.7042180613368
RD,DIST_CRU,2039,400.1706799045876
RD,DIST_CRU,2040,407.2101509863491
RD,DIST_CRU,2041,413.8668872389805
RD,DIST_CRU,2042,421.56879937903346
RD,DIST_CRU,2043,428.59346777001855
RD,DIST_CRU,2044,435.7966943135136
RD,DIST_CRU,2045,443.1800450899288
RD,DIST_CRU,2046,450.7053431628467
RD,DIST_CRU,2047,458.3050601525222
RD,DIST_CRU,2048,466.2273049526386
RD,DIST_CRU,2049,476.42329358725647
RD,DIST_CRU,2050,484.36752728839735
RD,DIST_NGS,2018,25.11103264309872
RD,DIST_NGS,2019,25.01036810515105
RD,DIST_NGS,2020,28.174959445935055
RD,DIST_NGS,2021,35.78022451505305
RD,DIST_NGS,2022,34.02345229036644
RD,DIST_NGS,2023,33.42471449183593
RD,DIST_NGS,2024,47.158064793716285
RD,DIST_NGS,2025,48.958067803834254
RD,DIST_NGS,2026,50.70349845378425
RD,DIST_NGS,2027,52.450112353879405
RD,DIST_NGS,2028,54.20022498175479
RD,DIST_NGS,2029,55.94836175859391
RD,DIST_NGS,2030,57.696301979556885
RD,DIST_NGS,2031,59.40681331008787
RD,DIST_NGS,2032,61.11722464061885
RD,DIST_NGS,2033,62.82773597114984
RD,DIST_NGS,2034,64.53824730168083
RD,DIST_NGS,2035,66.2487586322118
RD,DIST_NGS,2036,67.95916996274279
RD,DIST_NGS,2037,69.66968129327377
RD,DIST_NGS,2038,71.38029262380476
RD,DIST_NGS,2039,73.09070395433572
RD,DIST_NGS,2040,74.80121528486671
RD,DIST_NGS,2041,76.41358625425276
RD,DIST_NGS,2042,78.02595722363881
RD,DIST_NGS,2043,79.63832819302483
RD,DIST_NGS,2044,81.26737940879082
RD,DIST_NGS,2045,82.89645352885786
RD,DIST_NGS,2046,84.52525974025107
RD,DIST_NGS,2047,86.15459037766577
RD,DIST_NGS,2048,87.78334521171132
RD,DIST_NGS,2049,89.41199426202925
RD,DIST_NGS,2050,91.04057818761602
RD,DIST_COK,2018,7.9675
RD,DIST_COK,2019,16.889
RD,DIST_COK,2020,16.5041
RD,DIST_COK,2021,18.6381
RD,DIST_COK,2022,18.7909
RD,DIST_COK,2023,18.7358
RD,DIST_COK,2024,19.4224
RD,DIST_COK,2025,20.1124
RD,DIST_COK,2026,20.5542
RD,DIST_COK,2027,20.9959
RD,DIST_COK,2028,21.4377
RD,DIST_COK,2029,21.8794
RD,DIST_COK,2030,22.3212
RD,DIST_COK,2031,22.6076
RD,DIST_COK,2032,22.894
RD,DIST_COK,2033,23.1804
RD,DIST_COK,2034,23.4668
RD,DIST_COK,2035,23.7532
RD,DIST_COK,2036,24.0396
RD,DIST_COK,2037,24.326
RD,DIST_COK,2038,24.6124
RD,DIST_COK,2039,24.8989
RD,DIST_COK,2040,25.1853
RD,DIST_COK,2041,25.0606
RD,DIST_COK,2042,24.936
RD,DIST_COK,2043,24.8113
RD,DIST_COK,2044,24.6867
RD,DIST_COK,2045,24.562
RD,DIST_COK,2046,24.4374
RD,DIST_COK,2047,24.3127
RD,DIST_COK,2048,24.1881
RD,DIST_COK,2049,24.0634
RD,DIST_COK,2050,23.9388
RD,DIST_KER,2018,23.4833132997724
RD,DIST_KER,2019,22.417178932622
RD,DIST_KER,2020,9.450189421463108
RD,DIST_KER,2021,15.970619248413
RD,DIST_KER,2022,22.5056203199469
RD,DIST_KER,2023,23.032820889202
RD,DIST_KER,2024,23.9028717256103
RD,DIST_KER,2025,24.7782550639364
RD,DIST_KER,2026,25.602730360960095
RD,DIST_KER,2027,26.441613612031095
RD,DIST_KER,2028,27.3327644441926
RD,DIST_KER,2029,28.1937081297979
RD,DIST_KER,2030,29.0533467639565
RD,DIST_KER,2031,29.829785852361702
RD,DIST_KER,2032,30.6063249407669
RD,DIST_KER,2033,31.382764029172098
RD,DIST_KER,2034,32.1593031175773
RD,DIST_KER,2035,32.9357422059825
RD,DIST_KER,2036,33.712281294387694
RD,DIST_KER,2037,34.488720382792906
RD,DIST_KER,2038,35.2652594711981
RD,DIST_KER,2039,36.0416985596033
RD,DIST_KER,2040,36.8182376480085
RD,DIST_KER,2041,37.3906070686123
RD,DIST_KER,2042,37.9628764892161
RD,DIST_KER,2043,38.53524590982
RD,DIST_KER,2044,39.1075153304238
RD,DIST_KER,2045,39.67988475102759
RD,DIST_KER,2046,40.2521541716314
RD,DIST_KER,2047,40.8245235922352
RD,DIST_KER,2048,41.3967930128391
RD,DIST_KER,2049,41.9691624334429
RD,DIST_KER,2050,42.541531854046696
RD,DIST_COA,2018,105.04054275
RD,DIST_COA,2019,125.220252
RD,DIST_COA,2020,210.41727506
RD,DIST_COA,2021,142.652952
RD,DIST_COA,2022,151.26317056000002
RD,DIST_COA,2023,154.67758596000002
RD,DIST_COA,2024,154.4674476
RD,DIST_COA,2025,154.25858606
RD,DIST_COA,2026,154.00092452
RD,DIST_COA,2027,153.74336298
RD,DIST_COA,2028,153.48512462000002
RD,DIST_COA,2029,153.22746308
RD,DIST_COA,2030,152.96990154
RD,DIST_COA,2031,149.31772576
RD,DIST_COA,2032,145.66612680000003
RD,DIST_COA,2033,142.01462784
RD,DIST_COA,2034,138.36302888
RD,DIST_COA,2035,134.71095309999998
RD,DIST_COA,2036,131.05935414
RD,DIST_COA,2037,127.40775518
RD,DIST_COA,2038,123.7556794
RD,DIST_COA,2039,120.10408044
RD,DIST_COA,2040,116.45248148
RD,DIST_COA,2041,105.27699724
RD,DIST_COA,2042,94.10198982
RD,DIST_COA,2043,82.92698240000001
RD,DIST_COA,2044,71.75139816000001
RD,DIST_COA,2045,60.57649074
RD,DIST_COA,2046,49.40148332
RD,DIST_COA,2047,38.225899080000005
RD,DIST_COA,2048,27.05089166
RD,DIST_COA,2049,15.87540742
RD,DIST_COA,2050,4.7004
RD,IMP_ELE,2018,0.000594
RD,IMP_ELE,2019,0.000594
RD,IMP_ELE,2020,0.000648
RD,IMP_ELE,2021,0.000702
RD,IMP_ELE,2022,0.000756
RD,IMP_ELE,2023,0.000756
RD,IMP_ELE,2024,0.00081
RD,IMP_ELE,2025,1.8622798315362024
RD,IMP_ELE,2026,2.7437751242226764
RD,IMP_ELE,2027,2.8918775482564323
RD,IMP_ELE,2028,3.072805869518141
RD,IMP_ELE,2029,3.2724557857401004
RD,IMP_ELE,2030,3.4970800713425167
RD,IMP_ELE,2031,3.7478539117120464
RD,IMP_ELE,2032,4.02849975902319
RD,IMP_ELE,2033,4.342103919872871
RD,IMP_ELE,2034,4.671195433422181
RD,IMP_ELE,2035,5.020693564369278
RD,IMP_ELE,2036,5.379449530983275
RD,IMP_ELE,2037,5.738691138061805
RD,IMP_ELE,2038,6.093678727728832
